,Control_1,Control_2,Control_3,Control_4,Mlp37347_1,Mlp37347_2,Mlp37347_3,Mlp37347_4,Mlp124499_1,Mlp124499_2,Mlp124499_3,Mlp124499_4
AT1G28660,71,428,346,743,478,349,218,39,69,106,141,330
AT1G28670,127,513,422,1185,886,630,361,72,254,316,269,674
AT1G28680,48,83,101,165,99,68,45,47,85,80,93,92
AT1G28685,25,8,11,16,10,9,2,2,2,2,22,7
AT1G28690,19,18,14,48,46,18,20,11,12,14,17,15
AT1G28695,0,0,0,0,1,0,0,0,0,0,0,0
AT1G28700,0,1,0,0,1,0,0,0,1,0,1,0
AT1G28710,40,157,155,413,239,204,103,39,220,171,71,189
AT1G28715,21,63,59,125,51,57,33,37,52,62,37,54
AT1G28720,0,0,0,3,0,3,0,1,0,0,0,1
AT1G28730,1,1,1,3,2,4,4,1,1,3,0,0
AT1G28740,0,0,0,2,0,0,0,0,0,0,0,0
AT1G28750,0,0,0,1,0,1,0,0,0,0,0,0
AT1G28760,26,47,35,116,78,66,26,13,31,40,26,106
AT1G28765,17,60,55,142,60,42,27,45,47,67,39,61
AT1G28770,0,0,0,0,0,0,0,0,0,0,0,0
AT1G28780,0,0,0,0,0,0,0,0,0,0,0,0
AT1G28790,0,0,0,1,0,0,0,0,0,0,0,0
AT1G28800,0,0,0,0,0,0,0,0,0,0,0,0
AT1G28810,0,0,0,2,0,0,0,0,0,0,0,0
AT1G28815,0,0,1,0,0,0,0,0,0,0,0,0
AT1G28820,0,0,0,0,0,0,0,0,0,0,0,0
AT1G28830,1,0,0,0,0,0,0,0,0,0,0,0
AT1G28840,0,0,0,0,0,0,0,0,0,0,0,0
AT1G28850,0,0,0,0,0,0,0,0,0,0,0,0
AT1G28860,0,0,0,0,0,0,0,0,0,0,0,0
AT1G28870,0,0,0,0,0,0,0,0,0,0,0,0
AT1G28880,0,0,0,0,0,0,0,0,0,0,0,0
AT1G28890,0,0,0,0,0,0,0,0,0,0,0,0
AT1G28900,0,0,0,0,0,0,0,0,0,0,0,0
AT1G28910,0,0,0,0,0,0,0,0,0,0,0,0
AT1G28920,0,0,0,0,0,0,0,0,0,0,0,0
AT1G28930,0,0,0,0,0,0,0,0,0,0,0,0
AT1G28940,0,0,0,2,0,0,0,0,0,0,0,0
AT1G28950,0,0,0,1,0,0,0,0,0,0,0,0
AT1G28960,222,446,516,1135,416,330,193,596,384,437,450,280
AT1G28970,0,2,1,15,0,0,0,1,0,0,0,1
AT1G28980,0,0,0,8,0,0,0,0,0,0,0,0
AT1G28990,1,0,1,7,1,0,0,1,2,0,2,3
AT1G29000,1,2,1,2,8,4,1,0,1,2,1,0
AT1G29005,0,0,0,0,0,0,0,0,0,0,1,0
AT1G29010,0,0,0,0,0,0,0,0,0,0,0,0
AT1G29020,0,0,0,8,1,0,0,0,0,0,0,2
AT1G29025,0,1,0,16,1,1,0,0,0,1,0,2
AT1G29030,44,131,107,360,190,142,89,55,95,91,63,119
AT1G29040,91,207,283,551,349,309,187,202,175,183,179,188
AT1G29041,0,0,0,0,0,0,0,0,0,0,0,0
AT1G29050,86,332,420,1247,674,524,269,114,166,129,150,530
AT1G29060,72,151,170,297,172,111,82,88,87,97,136,139
AT1G29070,328,2603,2858,9288,7856,6245,3902,4084,2395,2762,1051,3631
AT1G29071,2,0,3,4,7,2,1,1,3,1,6,0
AT1G29080,0,0,0,0,0,0,0,0,0,0,0,0
AT1G29090,1,0,0,2,2,2,0,0,0,0,0,2
AT1G29100,0,0,0,2,0,0,0,1,0,0,0,1
AT1G29110,0,5,1,5,16,11,2,2,1,0,1,8
AT1G29120,186,595,621,1418,553,468,295,319,413,417,468,450
AT1G29140,0,0,0,0,0,1,1,0,1,0,1,0
AT1G29150,238,1118,1022,3148,1790,1494,989,898,820,828,652,1267
AT1G29160,12,32,46,118,57,58,31,15,24,20,16,42
AT1G29170,124,240,223,689,273,210,128,84,202,210,132,298
AT1G29179,0,0,0,0,0,0,0,0,0,0,0,0
AT1G29180,0,1,0,0,1,0,0,0,0,0,0,0
AT1G29195,20,51,49,77,13,14,3,26,9,14,18,45
AT1G29200,12,7,11,32,19,14,6,1,4,5,7,12
AT1G29210,0,0,0,0,0,0,0,0,0,0,0,0
AT1G29220,232,264,283,642,402,329,206,254,173,177,350,273
AT1G29230,8,5,12,32,10,18,6,4,11,8,4,7
